>>> python.exe n3sort.py 
w - width, длина входной последовательности

9 <-> 6 конфликтующие числа в десятичной записи

'01001' <-> '00110' конфликтующие числа в бинарной записи

'c=2 o=2 p=0 t=1 e=0' с - count,    общее количество сделанных перестановок.
                      o - ones,     количество единиц в последовательности.
                      p - pos,      позиция на которой закончилась сортировка.
                      t - tool,     способ (один из двух),
                                    на котором закончилось изменение  
                                    последовательности.
                      e - exchange, количество смены tool.

w= 8 | 214 <-> 124 = ' 11010110' <-> ' 01111100' = 'c=3 o=5 p=4 t=0 e=1'
w= 8 | 215 <-> 125 = ' 11010111' <-> ' 01111101' = 'c=5 o=6 p=5 t=0 e=1'
w= 8 | 217 <-> 124 = ' 11011001' <-> ' 01111100' = 'c=3 o=5 p=4 t=0 e=1'
w= 8 | 219 <-> 126 = ' 11011011' <-> ' 01111110' = 'c=3 o=6 p=4 t=1 e=0'
w= 8 | 221 <-> 187 = ' 11011101' <-> ' 10111011' = 'c=4 o=6 p=5 t=0 e=1'
w= 8 | 225 <-> 180 = ' 11100001' <-> ' 10110100' = 'c=2 o=4 p=3 t=1 e=0'
w= 8 | 226 <-> 184 = ' 11100010' <-> ' 10111000' = 'c=2 o=4 p=3 t=0 e=1'
w= 8 | 227 <-> 122 = ' 11100011' <-> ' 01111010' = 'c=3 o=5 p=4 t=1 e=0'
w= 8 | 229 <-> 124 = ' 11100101' <-> ' 01111100' = 'c=3 o=5 p=4 t=0 e=1'
w= 8 | 230 <-> 188 = ' 11100110' <-> ' 10111100' = 'c=2 o=5 p=3 t=1 e=0'
w= 8 | 231 <-> 189 = ' 11100111' <-> ' 10111101' = 'c=3 o=6 p=5 t=1 e=0'
w= 8 | 233 <-> 188 = ' 11101001' <-> ' 10111100' = 'c=2 o=5 p=3 t=1 e=0'
w= 8 | 234 <-> 124 = ' 11101010' <-> ' 01111100' = 'c=3 o=5 p=4 t=0 e=1'
w= 8 | 235 <-> 190 = ' 11101011' <-> ' 10111110' = 'c=3 o=6 p=5 t=0 e=1'
w= 8 | 241 <-> 220 = ' 11110001' <-> ' 11011100' = 'c=2 o=5 p=4 t=0 e=1'
w= 8 | 243 <-> 222 = ' 11110011' <-> ' 11011110' = 'c=2 o=6 p=4 t=1 e=0'
w= 8 | 245 <-> 190 = ' 11110101' <-> ' 10111110' = 'c=3 o=6 p=5 t=0 e=1'
w= 9 |  10 <->   5 = '000001010' <-> '000000101' = 'c=7 o=2 p=1 t=0 e=1'
w= 9 |  21 <->  11 = '000010101' <-> '000001011' = 'c=9 o=3 p=2 t=0 e=1'
w= 9 |  25 <->  22 = '000011001' <-> '000010110' = 'c=7 o=3 p=2 t=1 e=0'
w= 9 |  33 <->  12 = '000100001' <-> '000001100' = 'c=5 o=2 p=1 t=1 e=0'
w= 9 |  34 <->  17 = '000100010' <-> '000010001' = 'c=6 o=2 p=1 t=0 e=1'
w= 9 |  35 <->  14 = '000100011' <-> '000001110' = 'c=8 o=3 p=2 t=0 e=1'
w= 9 |  38 <->  26 = '000100110' <-> '000011010' = 'c=7 o=3 p=2 t=0 e=1'
w= 9 |  40 <->  20 = '000101000' <-> '000010100' = 'c=5 o=2 p=1 t=0 e=1'
w= 9 |  41 <->  26 = '000101001' <-> '000011010' = 'c=7 o=3 p=2 t=0 e=1'
w= 9 |  42 <->  11 = '000101010' <-> '000001011' = 'c=9 o=3 p=2 t=0 e=1'
w= 9 |  43 <->  23 = '000101011' <-> '000010111' = 'c=10 o=4 p=3 t=0 e=1'
w= 9 |  46 <->  29 = '000101110' <-> '000011101' = 'c=9 o=4 p=3 t=0 e=1'
w= 9 |  50 <->  44 = '000110010' <-> '000101100' = 'c=6 o=3 p=2 t=0 e=1'
w= 9 |  51 <->  45 = '000110011' <-> '000101101' = 'c=8 o=4 p=3 t=1 e=0'
w= 9 |  57 <->  54 = '000111001' <-> '000110110' = 'c=7 o=4 p=3 t=1 e=0'
w= 9 |  58 <->  53 = '000111010' <-> '000110101' = 'c=8 o=4 p=3 t=0 e=1'
w= 9 |  65 <->  20 = '001000001' <-> '000010100' = 'c=5 o=2 p=1 t=0 e=1'
w= 9 |  66 <->  24 = '001000010' <-> '000011000' = 'c=4 o=2 p=0 t=1 e=0'
w= 9 |  67 <->  22 = '001000011' <-> '000010110' = 'c=7 o=3 p=2 t=1 e=0'
w= 9 |  69 <->  14 = '001000101' <-> '000001110' = 'c=8 o=3 p=2 t=0 e=1'
w= 9 |  70 <->  28 = '001000110' <-> '000011100' = 'c=6 o=3 p=2 t=1 e=0'
w= 9 |  71 <->  29 = '001000111' <-> '000011101' = 'c=9 o=4 p=3 t=0 e=1'
w= 9 |  73 <->  28 = '001001001' <-> '000011100' = 'c=6 o=3 p=2 t=1 e=0'
w= 9 |  74 <->  44 = '001001010' <-> '000101100' = 'c=6 o=3 p=2 t=0 e=1'
w= 9 |  75 <->  30 = '001001011' <-> '000011110' = 'c=8 o=4 p=2 t=1 e=0'
w= 9 |  77 <->  53 = '001001101' <-> '000110101' = 'c=8 o=4 p=3 t=0 e=1'
w= 9 |  81 <->  26 = '001010001' <-> '000011010' = 'c=7 o=3 p=2 t=0 e=1'
w= 9 |  82 <->  76 = '001010010' <-> '001001100' = 'c=5 o=3 p=2 t=1 e=0'
w= 9 |  83 <->  53 = '001010011' <-> '000110101' = 'c=8 o=4 p=3 t=0 e=1'
w= 9 |  84 <->  44 = '001010100' <-> '000101100' = 'c=6 o=3 p=2 t=0 e=1'
w= 9 |  85 <->  23 = '001010101' <-> '000010111' = 'c=10 o=4 p=3 t=0 e=1'
w= 9 |  87 <->  47 = '001010111' <-> '000101111' = 'c=10 o=5 p=4 t=0 e=1'
w= 9 |  89 <->  86 = '001011001' <-> '001010110' = 'c=7 o=4 p=3 t=0 e=1'
w= 9 |  93 <->  59 = '001011101' <-> '000111011' = 'c=9 o=5 p=4 t=0 e=1'
w= 9 |  97 <->  76 = '001100001' <-> '001001100' = 'c=5 o=3 p=2 t=1 e=0'
w= 9 |  98 <->  56 = '001100010' <-> '000111000' = 'c=5 o=3 p=2 t=0 e=1'
w= 9 |  99 <->  78 = '001100011' <-> '001001110' = 'c=7 o=4 p=2 t=1 e=0'
w= 9 | 100 <->  88 = '001100100' <-> '001011000' = 'c=4 o=3 p=2 t=1 e=0'
w= 9 | 101 <->  86 = '001100101' <-> '001010110' = 'c=7 o=4 p=3 t=0 e=1'
w= 9 | 102 <->  90 = '001100110' <-> '001011010' = 'c=6 o=4 p=2 t=1 e=0'
w= 9 | 103 <->  91 = '001100111' <-> '001011011' = 'c=8 o=5 p=4 t=1 e=0'
w= 9 | 105 <->  90 = '001101001' <-> '001011010' = 'c=6 o=4 p=2 t=1 e=0'
w= 9 | 106 <->  86 = '001101010' <-> '001010110' = 'c=7 o=4 p=3 t=0 e=1'
w= 9 | 107 <->  62 = '001101011' <-> '000111110' = 'c=8 o=5 p=4 t=0 e=1'
w= 9 | 109 <->  94 = '001101101' <-> '001011110' = 'c=7 o=5 p=4 t=1 e=0'
w= 9 | 113 <->  92 = '001110001' <-> '001011100' = 'c=6 o=4 p=3 t=0 e=1'
w= 9 | 114 <-> 108 = '001110010' <-> '001101100' = 'c=5 o=4 p=2 t=1 e=0'
w= 9 | 115 <->  94 = '001110011' <-> '001011110' = 'c=7 o=5 p=4 t=1 e=0'
